iter	Passed	Remaining
429	1730	2293
430	1734	2290
431	1738	2285
432	1742	2281
433	1745	2277
434	1750	2273
435	1753	2268
436	1757	2264
437	1761	2260
438	1765	2256
439	1769	2252
440	1773	2247
441	1777	2243
442	1781	2239
443	1784	2234
444	1788	2230
445	1792	2227
446	1796	2222
447	1800	2217
448	1803	2213
449	1808	2209
450	1811	2205
451	1815	2201
452	1819	2197
453	1823	2193
454	1827	2189
455	1831	2184
456	1834	2179
457	1838	2175
458	1842	2171
459	1845	2166
460	1849	2162
461	1853	2158
462	1857	2154
463	1861	2150
464	1865	2146
465	1869	2142
466	1873	2138
467	1877	2134
468	1881	2130
469	1886	2127
470	1890	2123
471	1894	2118
472	1898	2114
473	1902	2111
474	1906	2106
475	1910	2102
476	1914	2098
477	1918	2094
478	1922	2090
479	1925	2086
480	1930	2082
481	1934	2078
482	1937	2074
483	1941	2070
484	1945	2066
485	1949	2062
486	1953	2057
487	1957	2053
488	1961	2049
489	1965	2045
490	1968	2041
491	1972	2036
492	1977	2033
493	1981	2029
494	1984	2024
495	1988	2020
496	1992	2016
497	1996	2012
498	2000	2008
499	2004	2004
500	2009	2001
501	2012	1996
502	2016	1992
503	2020	1988
504	2024	1984
505	2028	1980
506	2031	1975
507	2035	1971
508	2040	1967
509	2043	1963
510	2047	1959
511	2051	1955
512	2056	1952
513	2059	1947
514	2063	1943
515	2067	1939
516	2071	1935
517	2075	1931
518	2079	1926
519	2083	1923
520	2087	1919
521	2091	1914
522	2095	1910
523	2099	1906
524	2103	1903
525	2107	1898
526	2110	1894
527	2114	1890
528	2118	1886
529	2122	1882
530	2126	1877
531	2130	1873
532	2134	1869
533	2137	1865
534	2141	1861
535	2145	1857
536	2149	1853
537	2153	1849
538	2157	1844
539	2161	1841
540	2165	1836
541	2168	1832
542	2172	1828
543	2176	1824
544	2180	1820
545	2184	1816
546	2187	1811
547	2191	1807
548	2195	1803
549	2199	1799
550	2202	1794
551	2206	1790
552	2210	1786
553	2214	1782
554	2217	1778
555	2221	1774
556	2225	1770
557	2229	1766
558	2233	1761
559	2237	1757
560	2241	1753
561	2244	1749
562	2248	1745
563	2253	1741
564	2257	1737
565	2260	1733
566	2264	1729
567	2268	1725
568	2272	1721
569	2275	1716
570	2279	1712
571	2284	1709
572	2288	1705
573	2291	1700
574	2295	1696
575	2300	1693
576	2303	1689
577	2307	1684
578	2311	1680
579	2315	1676
580	2319	1672
581	2323	1668
582	2326	1664
583	2330	1660
584	2334	1656
585	2338	1652
586	2342	1648
587	2346	1644
588	2350	1640
589	2354	1635
590	2358	1632
591	2363	1628
592	2367	1624
593	2371	1620
594	2375	1616
595	2379	1612
596	2383	1608
597	2386	1604
598	2390	1600
599	2394	1596
600	2398	1592
601	2402	1588
602	2406	1584
603	2410	1580
604	2414	1576
605	2418	1572
606	2422	1568
607	2426	1564
608	2429	1560
609	2433	1555
610	2438	1552
611	2441	1548
612	2445	1543
613	2449	1539
614	2453	1536
615	2457	1531
616	2461	1527
617	2464	1523
618	2469	1520
619	2473	1515
620	2477	1511
621	2481	1507
622	2485	1504
623	2489	1500
624	2492	1495
625	2496	1491
626	2500	1487
627	2504	1483
628	2508	1479
629	2512	1475
630	2516	1471
631	2520	1467
632	2523	1463
633	2527	1459
634	2549	1465
635	2564	1467
636	2572	1466
637	2579	1463
638	2585	1460
639	2590	1456
640	2594	1453
641	2599	1449
642	2602	1445
643	2606	1440
644	2610	1436
645	2614	1432
646	2618	1428
647	2622	1424
648	2626	1420
649	2630	1416
650	2633	1412
651	2637	1407
652	2641	1403
653	2645	1399
654	2649	1395
655	2653	1391
656	2657	1387
657	2661	1383
658	2665	1379
659	2669	1375
660	2673	1371
661	2676	1366
662	2680	1362
663	2684	1358
664	2688	1354
665	2692	1350
666	2696	1346
667	2700	1342
668	2704	1338
669	2708	1333
670	2712	1329
671	2716	1325
672	2720	1321
673	2723	1317
674	2728	1313
675	2732	1309
676	2736	1305
677	2739	1301
678	2744	1297
679	2748	1293
680	2751	1289
681	2755	1284
682	2759	1280
683	2763	1276
684	2766	1272
685	2770	1268
686	2774	1264
687	2778	1260
688	2782	1256
689	2786	1251
690	2790	1247
691	2794	1243
692	2798	1239
693	2801	1235
694	2805	1231
695	2810	1227
696	2814	1223
697	2817	1219
698	2821	1215
699	2825	1211
700	2829	1206
701	2833	1202
702	2837	1198
703	2841	1194
704	2845	1190
705	2848	1186
706	2852	1182
707	2857	1178
708	2860	1174
709	2864	1169
710	2868	1165
711	2872	1161
712	2875	1157
713	2879	1153
714	2883	1149
715	2888	1145
716	2891	1141
717	2895	1137
718	2899	1133
719	2903	1129
720	2907	1124
721	2910	1120
722	2915	1116
723	2919	1112
724	2923	1108
725	2927	1104
726	2931	1100
727	2935	1096
728	2938	1092
729	2942	1088
730	2947	1084
731	2950	1080
732	2954	1076
733	2958	1072
734	2962	1068
735	2966	1064
736	2970	1059
737	2974	1055
738	2978	1051
739	2982	1047
740	2985	1043
741	2989	1039
742	2994	1035
743	2997	1031
744	3001	1027
745	3005	1023
746	3009	1019
747	3013	1015
748	3017	1011
749	3021	1007
750	3025	1003
751	3029	998
752	3032	994
753	3036	990
754	3040	986
755	3044	982
756	3048	978
757	3052	974
758	3056	970
759	3060	966
760	3063	962
761	3067	958
762	3071	954
763	3075	950
764	3079	945
765	3083	941
766	3087	937
767	3091	933
768	3094	929
769	3098	925
770	3103	921
771	3106	917
772	3110	913
773	3114	909
774	3118	905
775	3122	901
776	3126	897
777	3130	893
778	3134	889
779	3137	885
780	3141	880
781	3145	876
782	3149	872
783	3153	868
784	3156	864
785	3161	860
786	3165	856
787	3168	852
788	3172	848
789	3176	844
790	3180	840
791	3184	836
792	3188	832
793	3192	828
794	3196	824
795	3200	820
796	3204	816
797	3208	812
798	3212	808
799	3216	804
800	3220	800
801	3224	796
802	3228	791
803	3231	787
804	3235	783
805	3239	779
806	3243	775
807	3247	771
808	3250	767
809	3254	763
810	3258	759
811	3262	755
812	3266	751
813	3270	747
814	3274	743
815	3277	739
816	3282	735
817	3286	731
818	3290	727
819	3293	723
820	3298	719
821	3302	715
822	3305	710
823	3309	706
824	3313	702
825	3317	698
826	3321	694
827	3325	690
828	3329	686
829	3334	682
830	3337	678
831	3341	674
832	3346	670
833	3349	666
834	3353	662
835	3357	658
836	3361	654
837	3365	650
838	3369	646
839	3373	642
840	3377	638
841	3381	634
842	3385	630
843	3389	626
844	3399	623
845	3410	620
846	3414	616
847	3418	612
848	3426	609
849	3430	605
850	3434	601
851	3438	597
852	3442	593
853	3445	589
854	3449	585
855	3454	581
856	3457	576
857	3461	572
858	3465	568
859	3469	564
860	3473	560
861	3477	556
862	3481	552
863	3485	548
864	3489	544
865	3493	540
866	3497	536
867	3501	532
868	3505	528
869	3508	524
870	3512	520
871	3516	516
872	3520	512
873	3524	508
874	3528	504
875	3532	500
876	3536	495
877	3539	491
878	3543	487
879	3548	483
880	3551	479
881	3555	475
882	3559	471
883	3563	467
884	3567	463
885	3571	459
886	3575	455
887	3579	451
888	3582	447
889	3586	443
890	3590	439
891	3594	435
892	3598	431
893	3602	427
894	3606	423
895	3610	419
896	3614	415
897	3618	411
898	3622	407
899	3626	402
900	3630	398
901	3633	394
902	3638	390
903	3642	386
904	3645	382
905	3649	378
906	3654	374
907	3657	370
908	3661	366
909	3665	362
910	3669	358
911	3673	354
912	3677	350
913	3681	346
914	3685	342
915	3688	338
916	3692	334
917	3696	330
918	3700	326
919	3704	322
920	3708	318
921	3712	314
922	3716	310
923	3720	306
924	3724	301
925	3728	297
926	3732	293
927	3736	289
928	3740	285
929	3744	281
930	3748	277
931	3751	273
932	3755	269
933	3760	265
934	3763	261
935	3767	257
936	3771	253
937	3775	249
938	3779	245
939	3783	241
940	3787	237
941	3791	233
942	3795	229
943	3798	225
944	3802	221
945	3807	217
946	3810	213
947	3814	209
948	3818	205
949	3823	201
950	3826	197
951	3830	193
952	3834	189
953	3838	185
954	3842	181
955	3845	177
956	3849	172
957	3854	168
958	3857	164
959	3861	160
960	3865	156
961	3869	152
962	3873	148
963	3877	144
964	3881	140
965	3885	136
966	3889	132
967	3892	128
968	3896	124
969	3900	120
970	3904	116
971	3908	112
972	3912	108
973	3916	104
974	3919	100
975	3923	96
976	3927	92
977	3931	88
978	3935	84
979	3939	80
980	3943	76
981	3947	72
982	3950	68
983	3954	64
984	3958	60
985	3962	56
986	3965	52
987	3969	48
988	3973	44
989	3977	40
990	3981	36
991	3985	32
992	3989	28
993	3992	24
994	3996	20
995	4000	16
996	4004	12
997	4008	8
998	4012	4
999	4016	0
