iter	Logloss
0	0.6887875534
1	0.6841131408
2	0.6806680347
3	0.6761119064
4	0.6720592501
5	0.6682486484
6	0.6648391295
7	0.660706383
8	0.6568256077
9	0.6530872906
10	0.6491750557
11	0.6449453928
12	0.6417777499
13	0.6383759391
14	0.6344791571
15	0.6308365153
16	0.6279004888
17	0.6244547812
18	0.6210914094
19	0.6181382613
20	0.6150096213
21	0.6111350116
22	0.6076181488
23	0.6044207652
24	0.6014609334
25	0.5984489236
26	0.5944891348
27	0.5929024363
28	0.58983105
29	0.5866985539
30	0.583764773
31	0.5810025437
32	0.5777963463
33	0.5741915397
34	0.5709510253
35	0.5681415816
36	0.5660476142
37	0.563137031
38	0.5605851687
39	0.5572031413
40	0.5540804492
41	0.5513431793
42	0.5491734623
43	0.5464399664
44	0.5440245664
45	0.541186942
46	0.5383201613
47	0.5354998202
48	0.5328456296
49	0.5302901277
50	0.527994784
51	0.525274686
52	0.523058854
53	0.5202309152
54	0.5172717232
55	0.515172275
56	0.513110314
57	0.5108713032
58	0.5087777648
59	0.5064625021
60	0.5045975018
61	0.5029966701
62	0.5011148832
63	0.4991605357
64	0.4968186441
65	0.4944614097
66	0.4924338317
67	0.4907348638
68	0.4884543375
69	0.4874153524
70	0.4855916129
71	0.4838570892
72	0.4821191881
73	0.4799032065
74	0.4780587485
75	0.475690068
76	0.473332542
77	0.4710485298
78	0.4690651614
79	0.4673626524
80	0.4660413131
81	0.4643415692
82	0.4625642167
83	0.4605464899
84	0.458417959
85	0.4566249897
86	0.4545984943
87	0.4531349275
88	0.4512704183
89	0.4500604199
90	0.4480023805
91	0.4460287219
92	0.4445063254
93	0.4427825205
94	0.4424264595
95	0.4409576
96	0.439120277
97	0.4373860844
98	0.4357060923
99	0.4341428101
100	0.4326704368
101	0.4306607282
102	0.4291942986
103	0.4277385157
104	0.4261888481
105	0.4248711891
106	0.4236152479
107	0.422075531
108	0.4201755994
109	0.418731843
110	0.4172894526
111	0.4159554204
112	0.4143623038
113	0.4130124996
114	0.411409879
115	0.4102001496
116	0.4092460912
117	0.4077035594
118	0.4064668215
119	0.404930087
120	0.4035237623
121	0.40197397
122	0.4008440878
123	0.3997900223
124	0.3986739631
125	0.3975113603
126	0.395993426
127	0.3949737573
128	0.3933500081
129	0.3924652089
130	0.3910790705
131	0.3896928599
132	0.3880357849
133	0.3876175602
134	0.3866736791
135	0.3852107683
136	0.3837540251
137	0.3830574559
138	0.3815289134
139	0.3801822301
140	0.3791745456
141	0.3778005893
142	0.376995228
143	0.3757000424
144	0.3745522346
145	0.3730025576
146	0.3716131853
147	0.3704776373
148	0.3695782255
149	0.3693459705
150	0.3681078199
151	0.3672269365
152	0.3662631473
153	0.3649959765
154	0.3640391885
155	0.3636973724
156	0.3622826516
157	0.3613400236
158	0.3605903668
159	0.3593706076
160	0.358171856
161	0.3570990216
162	0.3559479208
163	0.3547106061
164	0.353778963
165	0.3526095625
166	0.3514063013
167	0.3504307165
168	0.3492163173
169	0.3489341495
170	0.3479044968
171	0.3469143021
172	0.3462471482
173	0.3451333979
174	0.3444506546
175	0.3437499388
176	0.3429523704
177	0.3417622268
178	0.3406868514
179	0.3396990996
180	0.3388258185
181	0.3380908878
182	0.3372601931
183	0.336387544
184	0.3357796764
185	0.3353063989
186	0.334143171
187	0.3333293433
188	0.3323407156
189	0.3312900493
190	0.3304740333
191	0.329596399
192	0.3287421155
193	0.327944731
194	0.3268667356
195	0.3263799606
196	0.3253786227
197	0.324690711
198	0.3237342829
199	0.3232133253
200	0.3227699448
201	0.3220212348
202	0.321401305
203	0.3205002494
204	0.3196769405
205	0.3187648143
206	0.3182098304
207	0.3172116759
208	0.3164425471
209	0.3157567851
210	0.3145648995
211	0.3135865268
212	0.3127681297
213	0.312256109
214	0.3116345047
215	0.310762926
216	0.3100766539
217	0.3097670244
218	0.309280365
219	0.3085140386
220	0.3078925911
221	0.3077084809
222	0.3071115623
223	0.306310811
224	0.306196823
225	0.3053851961
226	0.3046255843
227	0.3041724089
228	0.3033568672
229	0.3023624447
230	0.3015112126
231	0.300985625
232	0.3001387476
233	0.2993729395
234	0.2986975393
235	0.2980348325
236	0.2971730137
237	0.2965807094
238	0.2959113228
239	0.2950823316
240	0.2941560492
241	0.2934889943
242	0.2928284957
243	0.2921964554
244	0.2915858267
245	0.2910726317
246	0.2904946707
247	0.2897169136
248	0.2890513557
249	0.2886353166
250	0.28788525
251	0.2869561978
252	0.2862071982
253	0.2856457902
254	0.2848599677
255	0.2842037685
256	0.2835740102
257	0.2829652412
258	0.2823404373
259	0.2816684035
260	0.2808964421
261	0.2803023789
262	0.279906379
263	0.2793652067
264	0.2787078472
265	0.2786288879
266	0.2780953901
267	0.2778424397
268	0.2775678168
269	0.276910065
270	0.2763873841
271	0.2757675185
272	0.2751937354
273	0.2747163882
274	0.2742551593
275	0.2737089876
276	0.2730788144
277	0.2724717336
278	0.2719572387
279	0.2715118755
280	0.2709778822
281	0.2703679609
282	0.2698603702
283	0.2695815784
284	0.2691574827
285	0.2683799266
286	0.2681841668
287	0.2677338313
288	0.2670291919
289	0.2664928702
290	0.2659048276
291	0.2652179115
292	0.2647396222
293	0.2641328739
294	0.2637542765
295	0.2632243343
296	0.262952665
297	0.2628693509
298	0.2623982705
299	0.2620086399
300	0.2615371847
301	0.2609759704
302	0.2605780224
303	0.2601109509
304	0.259402976
305	0.2587543566
306	0.2581442072
307	0.2573505576
308	0.2569555223
309	0.2563167974
310	0.2558349654
311	0.2553017912
312	0.2548845271
313	0.2546222655
314	0.2540769221
315	0.2535345205
316	0.2530730284
317	0.2527433428
318	0.2521883367
319	0.2519006758
320	0.2513317348
321	0.2505889193
322	0.2501309292
323	0.2498336874
324	0.2492126608
325	0.248730297
326	0.2483268449
327	0.2477944571
328	0.2473954622
329	0.2468833217
330	0.2466453646
331	0.2460791255
332	0.2455236369
333	0.245055692
334	0.2444685817
335	0.243961142
336	0.2435825666
337	0.243144402
338	0.2423262198
339	0.241880846
340	0.2413948625
341	0.2408898433
342	0.2406734271
343	0.2402546032
344	0.2398875994
345	0.2392616736
346	0.2386117682
347	0.2383162835
348	0.2377580231
349	0.237748463
350	0.2374765182
351	0.2369428118
352	0.2365605359
353	0.236048156
354	0.2356759395
355	0.2353961194
356	0.234854764
357	0.2344115804
358	0.2338270933
359	0.2333791428
360	0.2328234193
361	0.2324437046
362	0.2321350153
363	0.2317274886
364	0.2312736278
365	0.2310369379
366	0.2308237197
367	0.2301889999
368	0.2296435129
369	0.2292599378
370	0.2289249654
371	0.2286436971
372	0.2282330599
373	0.227937158
374	0.2276025611
375	0.2270883443
376	0.2266289585
377	0.2261966285
378	0.2257223849
379	0.2253993487
380	0.2249638229
381	0.2245315278
382	0.2240584008
383	0.2235546559
384	0.2231742336
385	0.2227984916
386	0.2223481164
387	0.2219002838
388	0.2215405284
389	0.2212276009
390	0.2208683595
391	0.2204891866
392	0.2200178589
393	0.2197284434
394	0.2196301779
395	0.2194227291
396	0.2193551816
397	0.219061187
398	0.2186220766
399	0.2183686327
400	0.2179632777
401	0.2177697391
402	0.2173872715
403	0.2170385559
404	0.2166040828
405	0.216197662
406	0.2157430063
407	0.2155122973
408	0.2151500265
409	0.2148464994
410	0.2147126243
411	0.2142307155
412	0.2139609564
413	0.2135934403
414	0.2132497161
415	0.213132435
416	0.2129292714
417	0.2125856772
418	0.2123813657
419	0.2120938929
420	0.2119652096
421	0.2116630434
422	0.2113295954
423	0.2109355581
424	0.2107181942
425	0.2103616946
426	0.2100024261
427	0.2098283871
428	0.2093191789
429	0.2090403383
430	0.2087368432
431	0.2085410849
432	0.2083165342
433	0.2079521365
434	0.2077325394
435	0.207464731
436	0.2071795228
437	0.2070853434
438	0.2068085461
439	0.206446107
440	0.2061510555
441	0.2059703194
442	0.2057216475
443	0.2054395659
444	0.2052530199
445	0.2049682152
446	0.2049294809
447	0.2047250621
448	0.2045106977
449	0.2041797048
450	0.2038657254
451	0.2036219939
452	0.2032483236
453	0.2028929837
454	0.2025277568
455	0.20210314
456	0.2017165158
457	0.2013945466
458	0.2011124043
459	0.2007469886
460	0.2004628312
461	0.2000237139
462	0.1998093398
463	0.1995901396
464	0.1993174519
465	0.1990272897
466	0.1988963164
467	0.1983764955
468	0.1979430576
469	0.1975105862
470	0.1970707731
471	0.1967975335
472	0.1965194045
473	0.1965121574
474	0.1962066571
475	0.1958406125
476	0.1956488033
477	0.195312799
478	0.1949461569
479	0.194597022
480	0.194399479
481	0.1941656922
482	0.1940116105
483	0.1937353663
484	0.193490718
485	0.1932258827
486	0.1928968712
487	0.1925457785
488	0.1921681171
489	0.1918101174
490	0.1916157352
491	0.1914736603
492	0.191247748
493	0.1908436405
494	0.1906743696
495	0.1902682086
496	0.1901632258
497	0.189832736
498	0.1895738451
499	0.18922917
500	0.189024164
501	0.1887810174
502	0.1885722663
503	0.1881894372
504	0.1877633842
505	0.1873843076
506	0.1872162988
507	0.186869413
508	0.1865407875
509	0.1864061852
510	0.1861447977
511	0.1858591898
512	0.1856048091
513	0.1853498432
514	0.1850786713
515	0.1847251988
516	0.1844638461
517	0.1842580424
518	0.1840382876
519	0.1837317409
520	0.1834768652
521	0.1833711491
522	0.1832371997
523	0.1830518548
524	0.1827848292
525	0.1826677187
526	0.1824172341
527	0.1822156898
528	0.182050082
529	0.1816425373
530	0.1814721931
531	0.1813194854
532	0.1810997558
533	0.1808622246
534	0.1805595601
535	0.1802657633
536	0.1799740949
537	0.1795448092
538	0.17917625
539	0.1788230781
540	0.1786260665
541	0.1784024129
542	0.1781460268
543	0.1779065875
544	0.177516624
545	0.1773175731
546	0.177113918
547	0.1768569604
548	0.1766833263
549	0.176221737
550	0.1759630378
551	0.1755989579
552	0.1753465135
553	0.1750572376
554	0.1748843598
555	0.1745898871
556	0.1744617175
557	0.1741670432
558	0.1739507025
559	0.1739342285
560	0.173647722
561	0.1733948874
562	0.1732772404
563	0.1730659508
564	0.1729112508
565	0.1726868058
566	0.1723383107
567	0.1721478927
568	0.1719977907
569	0.171788415
570	0.1717086243
571	0.1716673727
572	0.1715769819
573	0.1713320911
574	0.1710859797
575	0.170743473
576	0.1705224012
577	0.1703858205
578	0.1701719743
579	0.1699227925
580	0.1697591516
581	0.1695233141
582	0.1693111194
583	0.1690265383
584	0.1689174338
585	0.1686853384
586	0.1682943242
587	0.1680482528
